machine,configuration,op1,op2,op3,op4,op5,op6,op7,op8,op9,op10,op11,op12,op13,op14,op15,op16,op17,op18,op19,op20,cost,basic_modules,auxiliary_modules
M1,mc11,,,,14.0,,,,12.0,,,,8.0,,,,18.0,,,,,750,1;5,101001;101002;101003;101004
M1,mc12,,,,,15.0,,,,20.0,,,,,,,,,16.0,,,955,1;5,101001;101002;101003;101004;101005
M1,mc13,,,20.0,,,,15.0,,,,,,,,,25.0,,,,,1025,1;5,101001;101002;101003;101004;101005
M1,mc14,,,,,,,,,,15.0,,,,,,,,,12.0,,840,1;5,101001;101002;101003
M2,mc21,14.0,,,,,15.0,,,,,,12.0,,,,,,,,20.0,1215,2;4;8,102001;102002;102003;102004;102005
M2,mc22,,15.0,,,,,,,,,,,14.0,,15.0,,,,,,910,2;4;8,102001;102002;102003
M2,mc23,,,25.0,,,,,18.0,,,25.0,,,,,,20.0,,,,1140,2;4;8,102001;102002;102003
M2,mc24,,20.0,,,20.0,,18.0,,,,,,,24.0,,,,,,,1350,2;4;8,102001;102002;102003;102004;102005
M2,mc25,,,,18.0,,,,,,,,,20.0,,,,,14.0,,15.0,1050,2;4;8,102001;102002;102003
M3,mc31,,12.0,,,,,,,15.0,,,10.0,,,,,10.0,,,,780,3;5;7,103001;103002;103003;103004;103005
M3,mc32,30.0,,,26.0,,,,24.0,,,24.0,,,,20.0,,35.0,,15.0,,1825,3;5;7,103001;103002;103003;103004;103005;103006
M4,mc41,,,,,,25.0,,,,30.0,,,,,,,,25.0,,,1350,4;9,104001;104002
M4,mc42,25.0,,,,,,,,,,,22.0,,,,,30.0,,,26.0,1500,4;9,104001;104002;104003;104004;104005
M4,mc43,,18.0,,25.0,,,,16.0,,,,,22.0,,,28.0,,,20.0,,1400,4;9,104001;104002;104003;104004
M5,mc51,16.0,,,,,,15.0,,,,15.0,,,18.0,,,,18.0,,,900,3;6;10,105001;105002
M5,mc52,,,24.0,,20.0,,,,,25.0,,,,,,,24.0,,,20.0,1175,3;6;10,105001;105002;105003;105004;105005
M5,mc53,,,,24.0,,,,,30.0,,,,,,18.0,,,,,,1230,3;6;10,105001;105002;105003;105004;105005
M5,mc54,20.0,,,,,22.0,14.0,,,,,,,20.0,,16.0,,,18.0,,1175,3;6;10,105001;105002;105003
