machine,configuration,op1,op2,op3,op4,op5,op6,op7,op8,op9,op10,op11,op12,op13,op14,op15,op16,op17,op18,op19,op20,cost,basic_modules,auxiliary_modules
M1,mc11,,,,14.0,,,,12.0,,,,8.0,,,,18.0,,,,,750,1;5,101001;1001001;1001002;1001003
M1,mc12,,,,,15.0,,,,20.0,,,,,,,,,16.0,,,955,1;5,101001;1002001;1002002;1002003;1002004
M1,mc13,,,20.0,,,,15.0,,,,,,,,,25.0,,,,,1025,1;5,101001;1003001;1003002;1003003;1003004
M1,mc14,,,,,,,,,,15.0,,,,,,,,,12.0,,840,1;5,101001;1004001;1004002
M2,mc21,14.0,,,,,15.0,,,,,,12.0,,,,,,,,20.0,1215,2;4;8,102001;1005001;1005002;1005003;1005004
M2,mc22,,15.0,,,,,,,,,,,14.0,,15.0,,,,,,910,2;4;8,102001;1006001;1006002
M2,mc23,,,25.0,,,,,18.0,,,25.0,,,,,,20.0,,,,1140,2;4;8,102001;1007001;1007002
M2,mc24,,20.0,,,20.0,,18.0,,,,,,,24.0,,,,,,,1350,2;4;8,102001;1008001;1008002;1008003;1008004
M2,mc25,,,,18.0,,,,,,,,,20.0,,,,,14.0,,15.0,1050,2;4;8,102001;1009001;1009002
M3,mc31,,12.0,,,,,,,15.0,,,10.0,,,,,10.0,,,,780,3;5;7,103001;1010001;1010002;1010003;1010004
M3,mc32,30.0,,,26.0,,,,24.0,,,24.0,,,,20.0,,35.0,,15.0,,1825,3;5;7,103001;103002;1011001;1011002;1011003;1011004
M4,mc41,,,,,,25.0,,,,30.0,,,,,,,,25.0,,,1350,4;9,104001;1012001
M4,mc42,25.0,,,,,,,,,,,22.0,,,,,30.0,,,26.0,1500,4;9,104001;1013001;1013002;1013003;1013004
M4,mc43,,18.0,,25.0,,,,16.0,,,,,22.0,,,28.0,,,20.0,,1400,4;9,104001;1014001;1014002;1014003
M5,mc51,16.0,,,,,,15.0,,,,15.0,,,18.0,,,,18.0,,,900,3;6;10,105001;1015001
M5,mc52,,,24.0,,20.0,,,,,25.0,,,,,,,24.0,,,20.0,1175,3;6;10,105001;1016001;1016002;1016003;1016004
M5,mc53,,,,24.0,,,,,30.0,,,,,,18.0,,,,,,1230,3;6;10,105001;1017001;1017002;1017003;1017004
M5,mc54,20.0,,,,,22.0,14.0,,,,,,,20.0,,16.0,,,18.0,,1175,3;6;10,105001;1018001;1018002
